"Label","Description","Units (preferred) or format","Category","Used In"
"NEE_VUT_REF_JOINTUNC","Joint uncertainty estimation for NEE_VUT_REF, including random uncertainty and USTAR filtering uncertainty; [SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each half-hour","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_VUT_REF_JOINTUNC","Joint uncertainty estimation for NEE_VUT_REF, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each half-hour","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_VUT_REF_QC","Quality flag for NEE_VUT_REF; 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_VUT_REF_QC","Quality flag for NEE_VUT_REF. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_VUT_REF_RANDUNC","Random uncertainty for NEE_VUT_REF, from measured only data; uses only data points where NEE_VUT_REF_QC is 0 and two hierarchical methods - see header and NEE_VUT_REF_RANDUNC_METHOD","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_VUT_REF_RANDUNC","Random uncertainty for NEE_VUT_REF, from measured only data. uses only data points where NEE_VUT_REF_QC is 0 and two hierarchical methods - see header and NEE_VUT_REF_RANDUNC_METHOD","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_VUT_REF_RANDUNC_METHOD","Method used to estimate the random uncertainty of NEE_VUT_REF; 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_VUT_REF_RANDUNC_METHOD","Method used to estimate the random uncertainty of NEE_VUT_REF. 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","","ICOS / FLUXNET"
"NEE_VUT_REF_RANDUNC_N","Number of data points used to estimate the random uncertainty of NEE_VUT_REF;","nondimensional","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_VUT_REF_RANDUNC_N","Number of data points used to estimate the random uncertainty of NEE_VUT_REF","nondimensional","","ICOS / FLUXNET"
"NEE_VUT_SE","Standard Error for NEE_VUT, calculated as SD(NEE_VUT_XX) / SQRT(40); SE from 40 half-hourly NEE_CUT_XX","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_VUT_SE","Standard Error for NEE_VUT, calculated as SD(NEE_VUT_XX) / SQRT(40) from 40 half-hourly NEE_VUT_XX","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_VUT_USTAR50","Net Ecosystem Exchange, using Variable Ustar Threshold (VUT) for each year, from 50 percentile of USTAR threshold;","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_VUT_USTAR50","Net Ecosystem Exchange, using Variable Ustar Threshold (VUT) for each year, from 50 percentile of USTAR threshold","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_VUT_USTAR50_JOINTUNC","Joint uncertainty estimation for NEE_VUT_USTAR50, including random uncertainty and USTAR filtering uncertainty; [SQRT(NEE_VUT_USTAR50_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each half-hour","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_VUT_USTAR50_JOINTUNC","Joint uncertainty estimation for NEE_VUT_USTAR50, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_VUT_USTAR50_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each half-hour","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_VUT_USTAR50_QC","Quality flag for NEE_VUT_USTAR50; 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_VUT_USTAR50_QC","Quality flag for NEE_VUT_USTAR50. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_VUT_USTAR50_RANDUNC","Random uncertainty for NEE_VUT_USTAR50, from measured only data; uses only data points where NEE_VUT_USTAR50_QC is 0 and two hierarchical methods see header and NEE_VUT_USTAR50_RANDUNC_METHOD","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_VUT_USTAR50_RANDUNC","Random uncertainty for NEE_VUT_USTAR50, from measured only data uses only data points where NEE_VUT_USTAR50_QC is 0 and two hierarchical methods see header and NEE_VUT_USTAR50_RANDUNC_METHOD","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_VUT_USTAR50_RANDUNC_METHOD","Method used to estimate the random uncertainty of NEE_VUT_USTAR50; 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_VUT_USTAR50_RANDUNC_METHOD","Method used to estimate the random uncertainty of NEE_VUT_USTAR50 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","","ICOS / FLUXNET"
"NEE_VUT_USTAR50_RANDUNC_N","Number of half-hour data points used to estimate the random uncertainty of NEE_VUT_USTAR50;","nondimensional","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_VUT_USTAR50_RANDUNC_N","Number of half-hour data points used to estimate the random uncertainty of NEE_VUT_USTAR50","nondimensional","","ICOS / FLUXNET"
"NEE_VUT_XX","NEE VUT percentiles (approx. percentile indicated by XX, see doc.) calculated from the 40 estimates aggregated at the different time resolutions -- XX = 05, 16, 25, 50, 75, 84, 95; XXth percentile from 40 half-hourly NEE_VUT_XX","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_VUT_XX_QC","Quality flag for NEE_VUT_XX -- XX = 05, 16, 25, 50, 75, 84, 95; 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NETRAD","Net Radiation","W m-2","",""
"NETRAD","Net radiation;","W m-2","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"NETRAD","Net radiation","W m-2","","ICOS / FLUXNET"
"NH4","","","",""
"NIGHT","Flag indicating nighttime interval based on SW_IN_POT; 0 = daytime, 1 = nighttime","nondimensional","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NIGHT","Flag indicating nighttime interval based on SW_IN_POT. 0 = daytime, 1 = nighttime","nondimensional","","ICOS / FLUXNET"
"NO","Nitric oxide (NO) mole fraction in wet air","nmolNO mol-1","","Ameriflux"
"NO2","Nitrogen dioxide (NO2) mole fraction in wet air","nmolNO2 mol-1","","Ameriflux"
"NO3","Nitrate concentration","µg g-1 soil","",""
"non_steady_wind","Hard flag for non-steady horizontal test","HFu/v/w/ts/co2 /h2o/ch4/n2","","EddyPro (_full_output_ file)"
"NT","Nighttime (used in partitioning)","-","","Fluxes"
"NUMVALS","Number of values","#","",""
"O2","Oxygen","Has to be seen when we have the sensors","",""
"O3","Ozone (O3) mole fraction in wet air","nmolO3 mol-1","","Ameriflux"
"OSO","On Site Operation","-","",""
"OUT","Outgoing","-","",""
"P","Precipitation","mm","","FLUXNET"
"P","Precipitation;","mm","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"P","Precipitation","mm","","ICOS / FLUXNET"
"P_ERA","Precipitation, downscaled from ERA, linearly regressed using measured only site data; (mm per dataset resolution: either hour or half-hour)","mm","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"P_ERA","Precipitation, downscaled from ERA, linearly regressed using measured only site data. (mm per dataset resolution: either hour or half-hour)","mm","","ICOS / FLUXNET"
"P_F","Precipitation consolidated from P and P_ERA; P used if measured (mm per dataset resolution: either hour or half-hour)","mm","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"P_F","Precipitation consolidated from P and P_ERA. P used if measured (mm per dataset resolution: either hour or half-hour)","mm","","ICOS / FLUXNET"
"P_F_QC","Quality flag for P_F; 0 = measured; 2 = downscaled from ERA","nondimensional","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"P_F_QC","Quality flag for P_F. 0 = measured; 2 = downscaled from ERA","nondimensional","","ICOS / FLUXNET"
"PA","Atmospheric Pressure","Pa, kPa, hPa or other","",""
"PA","Atmospheric pressure;","kPa","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"PA","Atmospheric pressure","kPa","","ICOS / FLUXNET"
"PA_ERA","Atmospheric pressure, downscaled from ERA, linearly regressed using measured only site data;","kPa","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"PA_ERA","Atmospheric pressure, downscaled from ERA, linearly regressed using measured only site data","kPa","","ICOS / FLUXNET"
"PA_F","Atmospheric pressure consolidated from PA and PA_ERA; PA used if measured","kPa","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"PA_F","Atmospheric pressure consolidated from PA and PA_ERA","kPa","","ICOS / FLUXNET"
"PA_F_QC","Quality flag for PA_F; 0 = measured; 2 = downscaled from ERA","nondimensional","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"PA_F_QC","Quality flag for PA_F. 0 = measured; 2 = downscaled from ERA","nondimensional","","ICOS / FLUXNET"
"PA_PRF","Atmospheric Pressure in Profile","Pa, kPa, hPa or other","",""
"PBLH","Planetary boundary layer height","m","","ICOS / Ameriflux"
"PCH4","","","",""
"pitch","Second rotation angle","° (degrees)","","EddyPro (_full_output_ file)"
"PPFD","Photosynthetic photon flux density, without additional suffix it is typically incoming","µmolPhoton m-2 s-1","",""
"PPFD_DIF","Photosynthetic photon flux density, diffuse incoming;","µmolPhoton m-2 s-1","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"PPFD_DIF","Photosynthetic photon flux density, diffuse incoming","µmolPhoton m-2 s-1","","ICOS / FLUXNET"
"PPFD_IN","Photosynthetic photon flux density, incoming","µmolPhoton m-2 s-1","",""
"PPFD_IN","Photosynthetic photon flux density, incoming;","µmolPhoton m-2 s-1","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"PPFD_IN","Photosynthetic photon flux density, incoming","µmolPhoton m-2 s-1","","ICOS / FLUXNET"
"PPFD_OUT","Photosynthetic photon flux density, outgoing","µmolPhoton m-2 s-1","",""
"PPFD_OUT","Photosynthetic photon flux density, outgoing;","µmolPhoton m-2 s-1","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"PPFD_OUT","Photosynthetic photon flux density, outgoing","µmolPhoton m-2 s-1","","ICOS / FLUXNET"
"PREC","Precipitation","mm","",""
"qc_gas_flux","Quality flag for gas flux","#","","EddyPro (_full_output_ file)"
"qc_H","Quality flag for sensible heat flux","#","","EddyPro (_full_output_ file)"
"qc_LE","Quality flag latent heat flux","#","","EddyPro (_full_output_ file)"
"qc_Tau","Quality flag for momentum flux","#","","EddyPro (_full_output_ file)"
"QCF_","(prefix) quality control flag for the respective variable","#","",""
"QCF_LE","quality control flag for latent heat flux (0=best, 1=OK, 2=bad), typically for LE_f","#","",""
"QCF_NEE","quality control flag for NEE (0=best, 1=OK, 2=bad), typically for NEE_CUT_REF_f","#","",""
"R_ref","respiration at reference temperature parameter (μmol m-2 s-1 as NEE) in relationship between temperature and nighttime NEE from night-time partitioning","μmol CO2 m-2 s-1","","ReddyProc"
"rand_err_gas_flux","Random error for gas flux, if selected","µmol s-1 m-2(†)","","EddyPro (_full_output_ file)"
"rand_err_H","Random error for momentum flux, if selected","W m-2","","EddyPro (_full_output_ file)"
"rand_err_LE","Random error for latent heat flux, if selected","W m-2","","EddyPro (_full_output_ file)"
"rand_err_Tau","Random error for momentum flux, if selected","kg m-1 s-2","","EddyPro (_full_output_ file)"
"Reco_CUT_16","Ecosystem respiration, i.e. outflux from the land surface (μmol m-2 s-1 as NEE) (nighttime-based), modelled from NEE_CUT_16_f","umol CO2 m-2 s-1","",""
"Reco_CUT_84","Ecosystem respiration, i.e. outflux from the land surface (μmol m-2 s-1 as NEE) (nighttime-based), modelled from NEE_CUT_84_f","umol CO2 m-2 s-1","",""
"Reco_CUT_REF","Ecosystem respiration, i.e. outflux from the land surface (μmol m-2 s-1 as NEE) (nighttime-based), modelled from NEE_CUT_REF_f","umol CO2 m-2 s-1","",""
"RECO_DT_CUT_05","Ecosystem Respiration, from Daytime partitioning method, percentile 05 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"Reco_DT_CUT_16","Ecosystem respiration, i.e. outflux from the land surface (μmol m-2 s-1 as NEE) estimated by day-time partitioning, modelled from NEE_CUT_16_f","umol CO2 m-2 s-1","",""
"RECO_DT_CUT_16","Ecosystem Respiration, from Daytime partitioning method, percentile 16 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_CUT_25","Ecosystem Respiration, from Daytime partitioning method, percentile 25 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_CUT_50","Ecosystem Respiration, from Daytime partitioning method, percentile 50 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_CUT_75","Ecosystem Respiration, from Daytime partitioning method, percentile 75 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"Reco_DT_CUT_84","Ecosystem respiration, i.e. outflux from the land surface (μmol m-2 s-1 as NEE) estimated by day-time partitioning, modelled from NEE_CUT_84_f","umol CO2 m-2 s-1","",""
"RECO_DT_CUT_86","Ecosystem Respiration, from Daytime partitioning method, percentile 86 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_CUT_95","Ecosystem Respiration, from Daytime partitioning method, percentile 95 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_CUT_MEAN","Ecosystem Respiration, from Daytime partitioning method, average from RECO versions, each from corresponding NEE_CUT_XX version; average from 40 half-hourly RECO_DT_CUT_XX","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"RECO_DT_CUT_MEAN","Ecosystem Respiration, from Daytime partitioning method, average from RECO versions, each from corresponding NEE_CUT_XX version. average from 40 half-hourly RECO_DT_CUT_XX","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"Reco_DT_CUT_REF","Ecosystem respiration, i.e. outflux from the land surface (μmol m-2 s-1 as NEE) estimated by day-time partitioning, modelled from NEE_CUT_REF_f","umol CO2 m-2 s-1","",""
"RECO_DT_CUT_REF","Ecosystem Respiration, from Daytime partitioning method, reference selected from RECO versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation;","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"RECO_DT_CUT_REF","Ecosystem Respiration, from Daytime partitioning method, reference selected from RECO versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_CUT_SE","Standard Error for Ecosystem Respiration, calculated as  (SD(RECO_DT_CUT_XX) / SQRT(40)); SE from 40 half-hourly RECO_DT_CUT_XX","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"RECO_DT_CUT_SE","Standard Error for Ecosystem Respiration, calculated as  (SD(RECO_DT_CUT_XX) / SQRT(40)). SE from 40 half-hourly RECO_DT_CUT_XX","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_CUT_USTAR50","Ecosystem Respiration, from Daytime partitioning method, based on NEE_CUT_USTAR50;","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"RECO_DT_CUT_USTAR50","Ecosystem Respiration, from Daytime partitioning method, based on NEE_CUT_USTAR50","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_CUT_XX","Ecosystem Respiration, from Daytime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95);","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"RECO_DT_VUT_05","Ecosystem Respiration, from Daytime partitioning method, percentile 05 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_VUT_16","Ecosystem Respiration, from Daytime partitioning method, percentile 16 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_VUT_25","Ecosystem Respiration, from Daytime partitioning method, percentile 25 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_VUT_50","Ecosystem Respiration, from Daytime partitioning method, percentile 50 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_VUT_75","Ecosystem Respiration, from Daytime partitioning method, percentile 75 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_VUT_86","Ecosystem Respiration, from Daytime partitioning method, percentile 86 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_VUT_95","Ecosystem Respiration, from Daytime partitioning method, percentile 95 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_VUT_MEAN","Ecosystem Respiration, from Daytime partitioning method, average from RECO versions, each from corresponding NEE_VUT_XX version; average from 40 half-hourly RECO_DT_VUT_XX","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"RECO_DT_VUT_MEAN","Ecosystem Respiration, from Daytime partitioning method, average from RECO versions, each from corresponding NEE_VUT_XX version. average from 40 half-hourly RECO_DT_VUT_XX","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_VUT_REF","Ecosystem Respiration, from Daytime partitioning method, reference selected from RECO versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation;","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"RECO_DT_VUT_REF","Ecosystem Respiration, from Daytime partitioning method, reference selected from RECO versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_VUT_SE","Standard Error for Ecosystem Respiration, calculated as  (SD(RECO_DT_VUT_XX) / SQRT(40)); SE from 40 half-hourly RECO_DT_VUT_XX","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"RECO_DT_VUT_SE","Standard Error for Ecosystem Respiration, calculated as  (SD(RECO_DT_VUT_XX) / SQRT(40)). SE from 40 half-hourly RECO_DT_CUT_XX","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_VUT_USTAR50","Ecosystem Respiration, from Daytime partitioning method, based on NEE_VUT_USTAR50;","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"RECO_DT_VUT_USTAR50","Ecosystem Respiration, from Daytime partitioning method, based on NEE_VUT_USTAR50","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_DT_VUT_XX","Ecosystem Respiration, from Daytime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95);","µmolCO2 m-2 s-1","DAYTIME PARTITIONING","FLUXNET HH (half-hourly)"
"Reco_f","Ecosystem respiration, i.e. outflux from the land surface (μmol m-2 s-1 as NEE) (nighttime-based)","μmol CO2 m-2 s-1","","ReddyProc"
"RECO_NT_CUT_05","Ecosystem Respiration, from Nighttime partitioning method, percentile 05 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_NT_CUT_16","Ecosystem Respiration, from Nighttime partitioning method, percentile 16 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_NT_CUT_25","Ecosystem Respiration, from Nighttime partitioning method, percentile 25 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_NT_CUT_50","Ecosystem Respiration, from Nighttime partitioning method, percentile 50 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_NT_CUT_75","Ecosystem Respiration, from Nighttime partitioning method, percentile 75 of the 40 estimations","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
